card_name,quantity,id,rarity,set_sym,premium
Plains,1,233,Promo,PRM,No
Swamp,1,235,Promo,PRM,No
Mountain,1,243,Promo,PRM,No
Forest,1,251,Promo,PRM,No
Island,2,286,Promo,PRM,Yes
Abyssal Hunter,1,6762,Rare,MI,Yes
Agility,1,6769,Common,MI,No
Armor of Thorns,1,6781,Common,MI,No
Basalt Golem,1,6801,Uncommon,MI,No
Benevolent Unicorn,1,6807,Common,MI,No
Binding Agony,1,6811,Common,MI,No
Bone Harvest,3,6821,Common,MI,No
Boomerang,4,6825,Common,MI,No
Breathstealer,1,6827,Common,MI,No
Burning Shield Askari,2,6835,Common,MI,No
Cadaverous Knight,1,6839,Common,MI,No
Catacomb Dragon,1,6845,Rare,MI,No
Civic Guildmage,2,6865,Common,MI,No
Cloak of Invisibility,1,6867,Common,MI,No
Crypt Cobra,1,6879,Uncommon,MI,No
Dark Banishing,2,6891,Common,MI,No
Decomposition,2,6897,Uncommon,MI,No
Delirium,1,6899,Uncommon,MI,No
Dirtwater Wraith,1,6901,Common,MI,No
Disenchant,2,6907,Common,MI,No
Dissipate,1,6909,Uncommon,MI,No
Divine Offering,2,6911,Common,MI,No
Divine Retribution,1,6913,Rare,MI,No
Dream Cache,1,6919,Common,MI,No
Ekundu Cyclops,1,6931,Common,MI,No
Ekundu Griffin,1,6933,Common,MI,No
Energy Bolt,1,6941,Rare,MI,No
Enfeeblement,1,6945,Common,MI,No
Femeref Archers,1,6959,Uncommon,MI,No
Femeref Healer,1,6961,Common,MI,No
Femeref Scouts,3,6965,Common,MI,No
Fetid Horror,2,6969,Common,MI,No
Fire Diamond,1,6973,Uncommon,MI,No
Firebreathing,1,6975,Common,MI,No
Granger Guildmage,1,7017,Common,MI,No
Grave Servitude,3,7021,Common,MI,No
Gravebane Zombie,4,7023,Common,MI,No
"Hakim, Loreweaver",1,7029,Rare,MI,No
Hazerider Drake,1,7043,Uncommon,MI,No
Healing Salve,1,7045,Common,MI,No
Horrible Hordes,1,7049,Uncommon,MI,No
Illumination,2,7055,Uncommon,MI,No
Iron Tusk Elephant,1,7061,Uncommon,MI,No
Jolt,1,7077,Common,MI,No
Kaervek's Hex,1,7085,Uncommon,MI,No
Kukemssa Serpent,1,7095,Common,MI,No
Lightning Reflexes,1,7101,Common,MI,No
Locust Swarm,1,7105,Uncommon,MI,No
Melesse Spirit,1,7125,Uncommon,MI,No
Memory Lapse,2,7127,Common,MI,No
Merfolk Raiders,1,7129,Common,MI,No
Mind Harness,1,7135,Uncommon,MI,No
Mire Shade,1,7139,Uncommon,MI,No
Mtenda Griffin,1,7157,Uncommon,MI,No
Mtenda Herder,1,7159,Common,MI,No
Mtenda Lion,1,7161,Common,MI,No
Noble Elephant,1,7169,Common,MI,No
Nocturnal Raid,1,7171,Uncommon,MI,No
Pacifism,2,7175,Common,MI,No
Power Sink,1,7205,Common,MI,No
Purgatory,1,7217,Rare,MI,No
Pyric Salamander,1,7221,Common,MI,No
Raging Spirit,2,7227,Common,MI,No
Reality Ripple,2,7239,Common,MI,No
Restless Dead,2,7253,Common,MI,No
Sand Golem,1,7267,Uncommon,MI,No
Sandbar Crocodile,2,7269,Common,MI,No
